Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,Distance (km),Travel_time_minutes,Time_subtract_2,Food_manipulation,food_time,Weather_manipulation,Weather_time,Vehicle_manipulation,Vehicle_time,Traffic_manipulation,Traffic_time,Total_delay,Traffic_labels,Total_time
34,4.5,12.913041,77.683237,13.043041,77.813237,snack ,scooter ,19.5,93.0,0.0,mist,37.17,45.565,43.565,0.05,2.17825,0.1,4.3565,0.0,0.0,0.1,4.3565,10.89125,moderate,54.45625
23,4.4,12.914264,77.6784,12.924264,77.6884,drinks ,motorcycle ,20.45,91.0,0.0,mist,3.34,12.58666667,10.58666667,0.05,0.529333334,0.1,1.058666667,0.0,0.0,0.05,0.529333334,2.117333335,very low,12.704
38,4.7,11.003669,76.976494,11.053669,77.026494,buffet ,motorcycle ,23.86,78.0,0.0,mist,10.05,19.11666667,17.11666667,0.08,1.369333334,0.1,1.711666667,0.0,0.0,0.05,0.855833334,3.936833335,very low,21.0535
22,4.8,17.431668,78.408321,17.461668,78.438321,buffet ,motorcycle ,21.43,65.0,0.0,broken clouds,11.3,19.075,17.075,0.08,1.366,0.05,0.85375,0.0,0.0,0.05,0.85375,3.0735,very low,20.1485
33,4.7,23.369746,85.33982,23.479746,85.44982,meal ,scooter ,17.51,69.0,0.0,clear sky,19.11,19.635,17.635,0.1,1.7635,0.0,0.0,0.0,0.0,0.1,1.7635,3.527,low,21.162
35,4.6,12.352058,76.60665,12.482058,76.73665,meal ,motorcycle ,18.03,82.0,0.0,scattered clouds,28.41,35.2,33.2,0.1,3.32,0.0,0.0,0.0,0.0,0.05,1.66,4.98,low,38.18
22,4.8,17.433809,78.386744,17.563809,78.516744,buffet ,motorcycle ,21.08,65.0,0.0,broken clouds,31.62,38.54666667,36.54666667,0.08,2.923733334,0.05,1.827333334,0.0,0.0,0.05,1.827333334,6.578400002,low,43.12506667
21,4.7,10.003064,76.307589,10.043064,76.347589,meal ,motorcycle ,23.95,88.0,0.0,mist,7.57,17.25833333,15.25833333,0.1,1.525833333,0.1,1.525833333,0.0,0.0,0.05,0.762916667,3.814583333,very low,19.07291666
23,4.7,18.56245,73.916619,18.65245,74.006619,drinks ,scooter ,19.37,65.0,0.0,clear sky,21.93,23.41166667,21.41166667,0.05,1.070583334,0.0,0.0,0.0,0.0,0.1,2.141166667,3.211750001,low,24.62341667
34,4.3,30.899584,75.809346,30.919584,75.829346,buffet ,motorcycle ,19.14,55.0,0.0,clear sky,3.98,13.23833333,11.23833333,0.08,0.899066666,0.0,0.0,0.0,0.0,0.05,0.561916667,1.460983333,very low,12.69931666
